ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
9,CIUDAD DE MÉXICO,3,COYOACAN,403,958,84468,45482,27471,2087,12616,2144,1670,189481,5301,4367,1446,404,176,1466,708,186,72,10539,2320,307,1477,82,15571,496,8025,418362,563976
9,CIUDAD DE MÉXICO,4,CUAJIMALPA DE MORELOS,75,249,32787,17057,1470,530,3733,699,408,44545,1684,1002,262,127,38,284,338,43,13,2769,585,95,435,89,4277,71,2194,115535,160351
9,CIUDAD DE MÉXICO,5,GUSTAVO A. MADERO,858,1837,102499,73570,39941,4479,23484,4169,3001,372976,12400,6673,2009,726,382,2404,1429,346,168,25117,4907,779,3939,286,32350,674,15236,733944,1045113
9,CIUDAD DE MÉXICO,6,IZTACALCO,299,627,37996,24601,17199,1433,7712,1600,943,129316,3519,2513,1006,258,143,813,425,133,74,7576,1686,205,1217,954,10132,215,4791,256460,357004
9,CIUDAD DE MÉXICO,7,IZTAPALAPA,1003,2453,114163,82954,80936,5598,46781,8002,3967,532427,17733,8142,3182,985,802,2651,1495,455,331,37362,8631,1180,5518,418,40617,593,24292,1029215,1470405
9,CIUDAD DE MÉXICO,8,LA MAGDALENA CONTRERAS,147,342,23063,18525,1835,886,4623,1701,520,69923,1933,1218,198,174,62,459,500,56,12,4628,1003,142,676,54,4930,80,2875,140076,196534
9,CIUDAD DE MÉXICO,9,MILPA ALTA,44,163,5422,6636,1040,394,3498,2380,177,39171,1517,618,75,116,53,165,99,21,6,3469,604,93,412,76,3063,20,1689,70814,104842
9,CIUDAD DE MÉXICO,10,ALVARO OBREGON,445,1038,85183,44522,24653,2418,14885,2702,1670,195085,6626,4581,1438,473,247,1434,768,182,119,12875,2787,435,1955,190,15773,321,9537,430859,606598
9,CIUDAD DE MÉXICO,11,TLAHUAC,145,474,19543,16766,5284,1959,8328,1328,936,111779,3264,1509,365,182,79,515,408,116,56,7321,1678,250,1058,49,9671,142,4163,196749,294302
9,CIUDAD DE MÉXICO,12,TLALPAN,354,905,70120,40356,8214,2863,12988,2457,1585,189464,5447,3458,845,415,160,1430,807,200,53,12219,2733,363,1985,179,15161,368,7628,381498,539660
9,CIUDAD DE MÉXICO,13,XOCHIMILCO,171,539,28944,21843,4816,1572,10119,1399,1043,120061,4145,1683,728,214,78,768,435,164,44,9437,2019,296,1201,111,10771,193,4610,226694,340509
9,CIUDAD DE MÉXICO,14,BENITO JUAREZ,254,617,97143,39150,2173,1469,4923,1471,1262,96960,2288,3115,542,378,19,1258,457,155,34,4550,921,171,528,163,9565,422,3917,273034,367723
9,CIUDAD DE MÉXICO,15,CUAUHTEMOC,389,833,59262,42906,4974,1937,9039,2035,1385,155205,4507,2946,628,304,86,1569,782,221,79,9980,1998,268,1569,102,15308,410,6666,324166,478442
9,CIUDAD DE MÉXICO,16,MIGUEL HIDALGO,257,555,68247,28467,3010,1248,6123,1697,1033,88369,2503,2290,515,306,55,929,451,136,66,5286,1265,207,711,57,9473,232,3945,226621,319499
9,CIUDAD DE MÉXICO,17,VENUSTIANO CARRANZA,336,697,41313,32281,21768,1565,9499,1658,1462,132434,4240,2853,1054,294,188,982,515,170,107,8621,1673,273,1322,95,13100,210,5916,283593,404572
10,DURANGO,,VOTO EN EL EXTRANJERO,,,342,83,8,5,128,17,5,1014,10,62,2,11,1,7,3,0,1,151,45,5,14,0,70,2,23,2009,4783
10,DURANGO,1,CANATLAN,37,54,3609,2407,138,144,1695,72,142,4698,275,66,39,18,1,23,40,11,5,276,139,16,57,11,638,2,430,14952,24292
